INFO   | jvm 1    | main    | 2016/10/12 10:48:10.738 | INFO  [localhost-startStop-1] [hybrisserver] payment->(basecommerce,hmc) <-?-(commerceservices,cscockpit) 6.0.0.1 [?cih] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-commerce\payment
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.739 | INFO  [localhost-startStop-1] [hybrisserver] cms2->(basecommerce,hmc) <-?-(commerceservices,btg,cms2lib,cmscockpit,acceleratorservices,sapproductconfigservices,sapproductconfigfacades,acceleratorcms,secureportaladdon,sapordermgmtservices,commercesearchbackoffice) 6.0.0.1 [?cih] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-content\cms2
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.740 | INFO  [localhost-startStop-1] [hybrisserver] commerceservices->(basecommerce,promotions,platformhmc,solrfacetsearchhmc,solrfacetsearch,cms2,customerreview,payment,hmc) <-?-(commercefacades,commercewebservicescommons,b2bcommerce,sapmodel,sapcustomerb2c,sappricing,warehousing,ycommercewebservices,ticketsystem,cscockpit,acceleratorservices,sapproductconfigservices,sapordermgmtservices,commerceservicesbackoffice) 6.0.0.1 [?cibh] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-commerce\commerceservices
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.741 | INFO  [localhost-startStop-1] [hybrisserver] commercefacades->commerceservices <-?-(commercesearch,b2bcommercefacades,sapcustomerb2c,ycommercewebservices,sapproductconfigfacades,acceleratorfacades,sapordermgmtservices,sapordermgmtb2bfacades,commercesearchbackoffice) 6.0.0.1 [?cb] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-commerce\commercefacades
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.742 | INFO  [localhost-startStop-1] [hybrisserver] commercesearch->(solrfacetsearch,commercefacades) <-?-(commercesearchhmc,commercesearchbackoffice) 6.0.0.1 [?cib] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-commerce\commercesearch
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.743 | INFO  [localhost-startStop-1] [hybrisserver] btg->(cms2,hmc) <-?-(b2bacceleratorservices,yb2bacceleratorstorefront) 6.0.0.1 [?cibh] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-commerce\btg
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.744 | INFO  [localhost-startStop-1] [hybrisserver] cms2lib->cms2 <-?-(cmscockpit,acceleratorcms,secureportaladdon,sappricingproductcarouseladdon) 6.0.0.1 [?ci] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-content\cms2lib
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.746 | INFO  [localhost-startStop-1] [hybrisserver] cmscockpit->(basecommerce,cms2,cms2lib,admincockpit,cockpit,hmc) <-?-yacceleratorcockpits 6.0.0.1 [?cibwh] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-content\cmscockpit
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.747 | INFO  [localhost-startStop-1] [hybrisserver] webservicescommons->(platformservices,tomcatembeddedserver) <-?-(oauthauthorizationserver,commercewebservicescommons,datahubadapter,ycommercewebservices) 6.0.0.1 [?cib] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-platform-optional\webservicescommons
INFO   | jvm 1    | main    | 2016/10/12 10:48:10.748 | INFO  [localhost-startStop-1] [hybrisserver] oauthauthorizationserver->(groovynature,webservicescommons) <-?-ycommercewebservices 6.0.0.1 [?cibw] path:C:\hybrisootb\6\y0.0.1\hybris\bin\ext-platform-optional\oauthauthorizationserver
